Date,Open,High,Low,Close,Adj Close,Volume
2004-09-29,331.875000,331.875000,331.875000,331.875000,331.839020,313333
2004-09-30,337.500000,354.375000,337.500000,343.125000,343.087769,21219998
2004-10-01,343.125000,343.125000,343.125000,343.125000,343.087769,1875555
2004-10-04,348.750000,354.375000,348.750000,348.750000,348.712097,12684443
2004-10-05,348.750000,388.125000,348.750000,376.875000,376.834106,121793321
2004-10-06,376.875000,399.375000,376.875000,388.125000,388.082855,69948882
2004-10-07,388.125000,388.125000,376.875000,376.875000,376.834106,4980000
2004-10-08,388.125000,410.625000,382.500000,405.000000,404.956024,75877770
2004-10-11,405.000000,410.625000,393.750000,399.375000,399.331665,17162221
2004-10-12,405.000000,405.000000,388.125000,388.125000,388.082855,13004443
2004-10-13,388.125000,399.375000,388.125000,393.750000,393.707245,13426665
2004-10-14,416.250000,495.000000,416.250000,461.250000,461.199951,226533311
2004-10-15,466.875000,489.375000,410.625000,421.875000,421.829193,277282194
2004-10-18,421.875000,433.125000,410.625000,427.500000,427.453613,48702217
2004-10-19,427.500000,433.125000,416.250000,421.875000,421.829193,21173331
2004-10-20,421.875000,421.875000,399.375000,399.375000,399.331665,47395551
2004-10-21,399.375000,410.625000,393.750000,393.750000,393.707245,31062219
2004-10-22,399.375000,427.500000,393.750000,421.875000,421.829193,62471105
2004-10-25,421.875000,421.875000,410.625000,410.625000,410.580475,13817776
2004-10-26,410.625000,410.625000,410.625000,410.625000,410.580475,4024444
2004-10-27,416.250000,421.875000,416.250000,416.250000,416.204803,10555554
2004-10-28,416.250000,427.500000,416.250000,421.875000,421.829193,23004442
2004-10-29,416.250000,427.500000,416.250000,427.500000,427.453613,21815553
2004-11-01,427.500000,433.125000,421.875000,421.875000,421.829193,9644443
2004-11-02,427.500000,427.500000,421.875000,427.500000,427.453613,12971110
2004-11-03,427.500000,427.500000,421.875000,427.500000,427.453613,18391109
2004-11-04,421.875000,421.875000,410.625000,416.250000,416.204803,29219997
2004-11-05,410.625000,410.625000,399.375000,405.000000,404.956024,19788887
2004-11-08,405.000000,405.000000,388.125000,393.750000,393.707245,15726665
2004-11-09,393.750000,410.625000,393.750000,405.000000,404.956024,18215554
2004-11-10,405.000000,421.875000,405.000000,421.875000,421.829193,27586664
2004-11-11,421.875000,438.750000,421.875000,427.500000,427.453613,69855549
2004-11-12,427.500000,433.125000,421.875000,427.500000,427.453613,8268888
2004-11-22,427.500000,427.500000,416.250000,421.875000,421.829193,5939999
2004-11-23,416.250000,433.125000,416.250000,427.500000,427.453613,14206665
2004-11-24,433.125000,433.125000,421.875000,421.875000,421.829193,6088888
2004-11-25,421.875000,427.500000,421.875000,427.500000,427.453613,7795555
2004-11-26,433.125000,466.875000,433.125000,461.250000,461.199951,122466654
2004-11-29,461.250000,466.875000,455.625000,455.625000,455.575562,26935553
2004-11-30,455.625000,466.875000,455.625000,466.875000,466.824310,22026664
2004-12-01,466.875000,466.875000,455.625000,461.250000,461.199951,7059999
2004-12-02,461.250000,478.125000,455.625000,472.500000,472.448700,65879993
2004-12-03,461.250000,461.250000,444.375000,450.000000,449.951141,27999997
